id,Square Footage,Bedrooms,Year Built,Listed Price
7261373847,2880,4,2018,675000
7707808528,2448,4,1930,280000
9928431247,2300,4,1989,635000
9088048874,3256,4,2021,712500
7667182354,1927,3,1979,395000
9864047900,1500,3,1968,240000
7447105319,3493,4,1939,519900
7424924991,2234,4,2002,575000
7324053543,720,2,2010,95000
7488856320,1922,3,1994,530000
7439876306,1610,3,1970,229900
7566551133,1604,3,1950,115000
8927214917,2737,4,1971,425000
9879632219,971,2,1992,19000
7772535069,4179,5,2003,575000
7450316884,947,2,1981,169900
8935948262,3125,3,1951,498000
7975849429,1602,3,1960,340000
8103267984,1720,3,2001,279900
9318313304,2167,4,2022,669000
9805931195,2372,2,1969,299900
7856635956,1872,3,1978,300000
7256494455,1390,3,2001,259900
8884272505,3171,3,2001,539000
9673605344,1869,3,2024,519900
